date,aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,NDVI,EVI,water
1994-01-01,1267.00640180279,0,-172.092318561829,1267.00640180279,230.408491719998,11.4563922422832,1180.22807205706,2017.24460581176,0,209.993725442443,301.971013538961,2442.07231070479,96.8949624575298,194.197176250707,0,0,0
1994-02-01,1161.7048332318,4.01597346526703,-222.765092531562,1165.72567498972,130.146432960754,6.57291176741218,1254.84172755567,2122.01177497163,0,201.078728054049,302.841872108978,2458.28160783229,89.6879146458225,209.121867809321,0,0,0.86448387004142
1994-03-01,706.398521441337,862.470993853581,-329.802242868027,1568.82826607182,27.1946533405805,1.31792895406824,806.592257607267,2699.50934183438,0,189.628515876066,328.817674600453,2419.57351985933,120.104349409217,184.017749408328,0,0,0
1994-04-01,427.878513002787,962.530063307925,-399.254767197689,1390.37696899151,23.1048851218528,1,598.201120835414,2355.33624162774,0,173.271878567014,321.061025729874,2035.39777112212,137.099799640088,232.99183721916,0,0,1.00759491492954
1994-05-01,118.879492141069,1086.98040748572,-457.549384861721,1205.85242126788,0,0,480.003022433128,2153.24175341519,0,139.130771297584,303.458603641062,1625.10867976586,135.382152455508,194.255046247823,0,0,0
1994-06-01,77.5933547723289,902.96630351611,-471.484927478778,980.511623594278,0,0,402.434405893097,1902.74910168981,0,111.806600161657,273.713059789178,1347.54471605675,115.420144081268,192.629733496518,0,0,1.00826685935641
1994-07-01,55.2831633537875,1054.25323325999,-467.762177812198,1109.46136624767,0,0,347.200070241415,1993.99021369673,0,117.46741049821,272.128439032952,1308.09787681774,120.127827605988,225.381190351666,0,0,1.0099044930058
1994-08-01,41.4873599148144,1339.10690751702,-447.067834956796,1380.5986957194,0,0,305.70129656722,2176.21075644548,0,138.047475601927,296.102988637893,1297.28268686833,158.567700066599,244.535599022265,0,0,1.00602926799601
1994-09-01,34.3669524496245,1811.14971474154,-420.237900689897,1845.63567442875,0.051859490492354,0,273.372920370148,2603.76421522368,0,180.687373186628,340.111719900436,1389.65904020847,233.641584199565,289.8630347335,0,0,0.811650358143747
1994-10-01,283.55314153739,1706.56377751037,-325.537517192644,1990.24823171902,27.0929439276153,1.1949068390543,247.317684383285,2454.02839288947,0,212.165758516623,348.363769643055,1502.48022091071,257.587670639433,292.031625277196,0,0,0
1994-11-01,376.245793314087,1669.813152213,-363.157666592899,2046.09314721213,37.3125330555376,1.84343507021918,225.924333869566,2642.27855466535,0,228.199030388007,367.530113573202,2104.85644185766,241.50235490881,318.652550052354,0,0,1.00946843377379
1994-12-01,1593.73976300237,32.5295135367366,-403.935064746269,1626.3326842516,175.606777911599,8.74199856746514,300.380887836419,2518.00498652467,0,200.509876264287,324.818501608868,2399.46487954976,123.768989587442,266.84130610719,0,0,1.00954271229766
1995-01-01,943.27267894629,464.551014558291,-540.214694018006,1407.80405284576,95.7591850867241,4.8788240694595,266.900569182919,2260.96128560772,0,210.083290684522,314.688477774331,2535.84015248562,103.853112701981,205.096603937967,0,0,0.224146314770151
1995-02-01,1195.76237107443,82.5968485429574,-599.535992798334,1278.36413713204,124.897845793161,6.06877327056817,257.999209831132,2326.3188237924,0,207.389050394923,312.03924916427,2516.27372789842,100.355626188435,209.177273781431,0,0,0.652615061546762
1995-03-01,456.871125767878,1089.26919629252,-676.456664485485,1546.10135868478,45.467569246883,2,233.560270638953,2562.17132233097,0,200.027549068939,320.47661882771,2418.16113835217,115.925911009072,237.820628245909,0,0,1.00648306308556
1995-04-01,67.7984363033353,1338.21211487371,-772.070484342513,1406.04482094854,5.02625783780957,0,213.564627607631,2297.00625184498,0,182.395980863962,321.183332740436,2045.21512155511,142.231396270006,248.849760765305,0,0,0.842680155906571
1995-05-01,23.8090563364528,1188.16271265259,-812.300109338539,1212.13339215575,0.935237262736408,0,196.918410570384,2040.24324268025,0,152.921772084657,295.576799844297,1689.80234030298,126.764463488661,237.31645889552,0,0,1.00883038758185
1995-06-01,14.0889572356866,956.777620148397,-807.037021312552,970.935703161537,0,0,182.851368997798,2002.60041125518,0,103.433882460307,268.285030694491,1305.95356308849,110.155135199757,182.580589870529,0,0,1.0086560220394
1995-07-01,12.1448625426674,1117.67753073468,-784.324732092377,1129.76203467843,0,0,170.69318974691,1994.4986728871,0,119.927808245559,278.526135535315,1304.53077350386,128.623810676216,220.559125910856,0,0,0
1995-08-01,10.5606811929171,1416.91343535071,-746.163968788667,1427.49252454858,0,0,160.094158726098,2159.5464235371,0,153.07241313376,305.113661570132,1375.42864987692,169.943974408661,251.86040380176,0,0,1.00947563415568
1995-09-01,9.30978626907785,1893.66668372962,-703.367730885941,1902.93047728246,0,0,150.82302892195,2616.85742766607,0,184.631911578939,340.152709553553,1395.84385214038,235.631639062094,312.292000978969,0,0,0.818703517023971
1995-10-01,175.358427173833,2061.22520459288,-628.810257931535,2236.61575632747,17.6001989916843,1,142.584416753407,2740.70967292849,0,239.046887161197,378.522457926131,1708.90407210358,309.865877039388,295.635357512891,0,0,1.0096587906632
1995-11-01,360.447725406186,1476.69330373743,-622.463911887475,1837.09271315884,37.1428802023885,2,135.254747187351,2319.88698563601,0,230.616373278642,355.912015694263,2044.55368775119,230.369900758992,289.968004428955,0,0,0
1995-12-01,1124.61136027877,154.731310482099,-664.65536054694,1279.34554698171,117.771316550191,5.96145702959719,129.557510084697,1936.84823948372,0,203.51446138501,302.41136253634,2304.0102894521,106.092873976951,220.451080010906,0,0,0
1996-01-01,1255.61939263326,0,-619.188733496178,1255.61939263326,219.925684516003,10.9096025331377,962.951768571737,1993.72382098924,0,211.275582155432,304.971081009712,2499.45894272221,95.9561486976695,189.274120015503,0,0,0
1996-02-01,1096.28170422397,0,-568.959418403835,1096.28170422397,180.402774510184,8.98751288272338,1580.47842112627,1961.83896255468,0,210.22761395716,296.57835009812,2502.50223530858,84.4444359804333,215.57515254889,0,0,0
1996-03-01,985.947235700224,226.84581553069,-526.576200885315,1212.84743267377,84.9677710092294,4.04786068974435,1401.69187677806,2009.19761191167,0,195.773202071225,299.954928426276,2290.05519528209,99.3053366713546,179.195780196198,0,0,0
1996-04-01,532.112849920079,706.513791722839,-533.309658168719,1238.66272965283,7.08663853361517,0.063495809288149,937.16042627491,2113.0338859493,0,168.419221023237,302.800812180243,1938.75801716716,119.907794145968,224.501536092663,0,0,0
1996-05-01,406.117640565777,565.728077889127,-478.103797465976,971.853800852344,18.3482755194222,1,705.698906187097,1721.09189937093,0,148.271948021697,282.775968953536,1625.72543546428,115.778544061565,154.405580198866,0,0,0
1996-06-01,163.888301974115,737.018591569871,-459.666324056634,900.925190500121,0,0,541.80015799615,1849.69488286087,0,109.235753700459,267.214428650153,1315.50297974441,110.525891631541,155.582722425158,0,0,1.00391469883736
1996-07-01,98.8243730521995,1001.8928316645,-443.643328280013,1100.64816033172,0,0,442.980202405416,1937.77042843329,0,102.153651287897,274.308684075776,1210.10572174208,125.674013037163,219.094439760165,0,0,0
1996-08-01,66.9092931425435,1407.50886553704,-418.985092196347,1474.35656072248,0,0,376.138494039145,2365.33631494767,0,138.473875461821,310.884808545544,1330.44568476229,173.962775095101,241.044456555165,0,0,1.00824211125048
1996-09-01,53.3457327186799,1859.29260736059,-387.506064158273,1912.66635075419,0.482934996505888,0,327.450932806659,2634.31086303045,0,183.799989550158,347.728316422605,1392.02341091416,247.070550923915,299.204614742865,0,0,0
1996-10-01,47.0037091468449,2339.99732420749,-401.514895780352,2386.93325543555,1.05943444630714,0,290.330417439575,2908.36852847746,0,222.057292998196,377.711662263824,1624.19525633585,302.31022755687,340.448992539396,0,0,0
1996-11-01,607.05622268461,1332.74072053975,-371.848531959588,1939.83196733424,60.8266110972202,3.05504458884573,260.959321174119,2463.36353514586,0,235.13812456623,358.303529994471,2106.35797369172,231.872676278242,313.091573322151,0,0,0
1996-12-01,1331.03476452281,0,-320.608504153771,1331.03476452281,237.673939785647,11.8287267713339,1187.43463785909,1981.10586359313,0,209.70714442572,310.41136253634,2376.64526369007,113.616659563283,225.634008593842,0,0,0
1997-01-01,1080.83238715795,0,-55.470258755891,1080.83238715795,338.062494454403,77.54879852464,2712.35935343011,1663.34849831828,0,217.279820567138,297.537270552413,2495.40394904856,91.7835385561571,160.740425053764,0,0,0
1997-02-01,1000.58092795971,0,285.985594763656,1000.58092795971,208.342751845484,106.145731863537,2733.92921044,1758.33067495722,0,207.159889843952,290.986698957993,2446.15168203131,81.1742366569537,201.633529491646,0,0,0.404908071048308
1997-03-01,1170.31822861315,155.027632325623,263.105980097755,1325.38154686063,95.1393306593598,4.69034439671231,2467.5790725397,2161.72848734852,0,207.431930340769,304.595461399035,2395.04292432776,102.993971313045,219.313092626654,0,0,0.372356889032077
1997-04-01,984.890889054145,71.523631797486,397.16485960782,1056.43826214158,92.7733126411632,4.64650900003388,2364.00067617837,1823.15787302433,0,180.01476846672,299.394843917663,1959.52696445925,121.004768155448,148.327209577324,0,0,0.275599628049823
